Serial Number,Kind,Type,Name of Variety/ Hybrid,Recommended State Union territories for sale
70,Maize,Hybrid,Gujarat Dantiwada Yellow Maize Hybrid 101 (GDYMH-101) (BYMH-13-5),North Gujarat
71,Maize,Hybrid,GH-150125 (Dharma) (CAH-152SE),Karnataka
72,Maize,Hybrid,BIO 605,Assam
73,Sorghum,Open Pollinated Variety,CSV 50 Red (SPV 2612),"Karnataka, Telangana and Maharashtra"
74,Sorghum,Open Pollinated Variety,CSV 51 (SPV 2683),"Karnataka, Tamil Nadu and Telangana"
75,Sorghum,Open Pollinated Variety,CSV 52SS (SPV 2697),"Maharashtra, Telangana, Tamil Nadu and Punjab"
76,Sorghum,Open Pollinated Variety,CSV54HB (SPV 2714),"Telangana, Gujarat, Punjab and Uttarakhand"
77,Sorghum,Open Pollinated Variety,Phule Yashomati (RSV 1910),Maharashtra
78,Sorghum,Open Pollinated Variety,TRJP1-5 (SPV-2538),Karnataka
79,Sorghum,Open Pollinated Variety,SL 45 (SCL 1),Punjab
80,Sorghum,Open Pollinated Variety,Trombay Akola Suruchi (TAKPS 5),Maharashtra
81,Sorghum,Open Pollinated Variety,Haryana Jowar 1514 (HJ 1514) (SH 1514) (SPV 2951),Haryana
82,Sorghum,Hybrid,Haryana Jowar Hybrid 1513 (HJH 1513) (SHH 1513) (SPH 1513),Haryana
83,Sorghum,Hybrid,CSH 48 (SPH 1938),"Karnataka, Tamil Nadu, Telangana, Madhya Pradesh, Gujarat and Rajasthan"
84,Pearl millet,Open Pollinated Variety,PCB 166 (FBL 4),Punjab
85,Pearl millet,Hybrid,GHB 538 (EDV:DM) (Maru Sona),Gujarat
86,Finger millet,Open Pollinated Variety,VL Mandua 400 (CFMV 5),"Madhya Pradesh, Karnataka, Chhattisgarh, Bihar, Jharkhand, Gujarat and Andhra Pradesh"
87,Finger millet,Open Pollinated Variety,CFMV 4 (FMV 1166),"Andhra Pradesh, Maharashtra and Tamil Nadu"
88,Finger millet,Open Pollinated Variety,Gosthani (VR 1099),Andhra Pradesh
89,Finger millet,Open Pollinated Variety,SIRI (KMR-316),Karnataka
90,Kodo millet,Open Pollinated Variety,Dahod Kodo 1 (CKMV 3),"Andhra Pradesh, Chhattisgarh, Jharkhand, Madhya Pradesh and Tamil Nadu"
91,Foxtail millet,Open Pollinated Variety,Mahanandi (SiA 3159),Andhra Pradesh
92,Foxtail millet,Open Pollinated Variety,GPUF 3,Karnataka
93,Little Millet,Open Pollinated Variety,Kalinga Suan 18 (CLMV-2),"Odisha, Andhra Pradesh and Karnataka"
94,Little millet,Open Pollinated Variety,GV-4 (Ambika),Gujarat
95,Little millet,Open Pollinated Variety,Hagari Same-1 (HS-1) (IIMR LM-8437-17),Karnataka
96,Little millet,Open Pollinated Variety,GPUL 6,Karnataka
97,Proso millet,Open Pollinated Variety,Hagari Barugu-1(HB-1),Karnataka
98,Proso millet,Open Pollinated Variety,GPUP 28,Karnataka
99,*Brown Top Millet,Open Pollinated Variety,Hagari Browntop-2 (HBr-2),Karnataka *Subject to publication of Seed Certification Standards
100,Grain Amaranth,Open Pollinated Variety,Charu (KBGA-15),Karnataka
101,Soybean,Open Pollinated Variety,VL Soya 99 (VLS 99),Uttarakhand and Himachal Pradesh
102,Soybean,Open Pollinated Variety,JS 21-72 (Jawahar Soybean 21-72),"Madhya Pradesh, Budelkhand region of Uttar Pradesh, Rajasthan, Gujarat and Vidarbha and Marathwada regions of Maharashtra"
103,Soybean,Open Pollinated Variety,Him Palam Soya-1 Himso-1689,"Madhya Pradesh, Budelkhand region of Uttar Pradesh, Rajasthan, Gujarat and Marathwada and Vidarbh region of Maharashtra"
104,Soybean,Open Pollinated Variety,NRC 150,"Madhya Pradesh, Budelkhand region of Uttar Pradesh, Rajasthan, Gujarat and Vidarbha and Marathwada regions of Maharashtra"
105,Soybean,Open Pollinated Variety,NRC 152,"Madhya Pradesh, Budelkhand region of Uttar Pradesh, Rajasthan, Gujarat and Marathwada and Vidarbha regions of Maharashtra"
106,Soybean,Open Pollinated Variety,Umiam Soybean 1 (RCS 1-9),Meghalaya
107,Soybean,Open Pollinated Variety,Shalimar Soybean-2 (SKUA-WSB-101),Jammu and Kashmir
108,Soybean,Open Pollinated Variety,MAUS 725,Maharashtra
109,Soybean,Open Pollinated Variety,Indore Soy 131 (IS 131) (NRC 131),Madhya Pradesh
110,Soybean,Open Pollinated Variety,NRC 157,Madhya Pradesh
111,Soybean,Open Pollinated Variety,Indore Soy 136 (IS 136)NRC 136,Madhya Pradesh
